place_id,name,main_category,rating,reviews,address,link,categories,description,Grande Categorie,latitude,longitude
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,Supermarche,3.9,1505.0,"Auchan Supermarche Trappes, 1 Avenue Urbain Le Verrier, 78190 Trappes",https://www.google.com/maps/place/Auchan+Supermarch%C3%A9+Trappes/data=!4m7!3m6!1s0x47e684713686a7c5:0xf0054fdfa11edb36!8m2!3d48.7878506!4d1.9746504!16s%2Fg%2F11cn7xchbf!19sChIJxaeGNnGE5kcRNtseod9PBfA?authuser=0&hl=fr&rclk=1,Supermarche,Auchan Supermarche Trappes Supermarche Supermarche,Commerce et Restauration,48.78790799999999,1.974741
ChIJZ5SLWfGD5kcR71gO3qPlTR8,Marche,Marche,4.0,1233.0,"Marche, 1 Rue Leo Lagrange, 78190 Trappes",https://www.google.com/maps/place/March%C3%A9/data=!4m7!3m6!1s0x47e683f1598b9467:0x1f4de5a3de0e58ef!8m2!3d48.7763489!4d1.9866545!16s%2Fg%2F11dfpjg5xp!19sChIJZ5SLWfGD5kcR71gO3qPlTR8?authuser=0&hl=fr&rclk=1,Marche,Marche Marche Marche,Commerce et Restauration,48.7763489,1.9866545
ChIJB_qhJPeD5kcRGt53S4geiA4,Hopital prive de l'Ouest Parisien - Ramsay Sante,Hopital prive,2.8,735.0,"Hopital prive de l'Ouest Parisien - Ramsay Sante, 14 Rue Castiglione del Lago, 78190 Trappes",https://www.google.com/maps/place/H%C3%B4pital+priv%C3%A9+de+l%27Ouest+Parisien+-+Ramsay+Sant%C3%A9/data=!4m7!3m6!1s0x47e683f724a1fa07:0xe881e884b77de1a!8m2!3d48.7782102!4d1.9894717!16s%2Fg%2F11cm3s7nwd!19sChIJB_qhJPeD5kcRGt53S4geiA4?authuser=0&hl=fr&rclk=1,"Hopital prive, Hopital","Hopital prive de l'Ouest Parisien - Ramsay Sante Hopital prive Hopital prive, Hopital",Sante,48.7782102,1.9894717
ChIJiwOvVa6G5kcRhTqxmato9_Y,Ile de Loisirs de Saint-Quentin-en-Yvelines,Parc de loisirs,3.5,703.0,"Ile de Loisirs de Saint-Quentin-en-Yvelines, Rond Point Eric Tabarly, D912, 78190 Trappes","https://www.google.com/maps/place/%C3%8Ele+de+Loisirs+de+Saint-Quentin-en-Yvelines/@48.7850337,1.9943197,17z/data=!3m1!4b1!4m6!3m5!1s0x47e686ae55af038b:0xf6f768ab99b13a85!8m2!3d48.7850337!4d1.9943197!16s%2Fg%2F122zkc0x?authuser=0&hl=fr&entry=ttu","Parc de loisirs, Club de voile, Ferme pedagogique, Club de golf, Centre equestre, Reserve naturelle, Aire de pique-nique, Restaurant, Ecole de navigation","Ile de Loisirs de Saint-Quentin-en-Yvelines Parc de loisirs Parc de loisirs, Club de voile, Ferme pedagogique, Club de golf, Centre equestre, Reserve naturelle, Aire de pique-nique, Restaurant, Ecole de navigation",Sport et loisir,48.7850337,1.9943197
ChIJ6e1H5fOD5kcRSFgqsJIsC98,La Merise,Salle de spectacles,4.5,432.0,"La Merise, Place des Merisiers, 78190 Trappes","https://www.google.com/maps/place/La+Merise/@48.7767752,1.9855484,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f3e547ede9:0xdf0b2c92b02a5848!8m2!3d48.7767752!4d1.9855484!16s%2Fg%2F1td_4hcy?authuser=0&hl=fr&entry=ttu",Salle de spectacles,La Merise Salle de spectacles Salle de spectacles,Sport et loisir,48.7767752,1.9855484
ChIJPSdeYfWD5kcRRlaRO3AyaIk,CISQY,Mosquee,4.7,389.0,"CISQY, 49 Av. Hector Berlioz, 78190 Trappes","https://www.google.com/maps/place/CISQY/@48.7830239,1.9832204,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f5615e273d:0x896832703b915646!8m2!3d48.7830239!4d1.9832204!16s%2Fg%2F1td6lzwb?authuser=0&hl=fr&entry=ttu","Mosquee, Organisme a but non lucratif, Organisation religieuse","CISQY Mosquee Mosquee, Organisme a but non lucratif, Organisation religieuse",Culture,48.7830239,1.9832204
ChIJN7ZcEfuD5kcRUbzDfbnZGcM,Communaute Emmaus Trappes,Association caritative,4.1,350.0,"Communaute Emmaus Trappes, 201 Av. des Bouleaux, 78190 Trappes","https://www.google.com/maps/place/Communaut%C3%A9+Emma%C3%BCs+Trappes/@48.7699761,2.0097312,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683fb115cb637:0xc319d9b97dc3bc51!8m2!3d48.7699761!4d2.0097312!16s%2Fg%2F1tdr7hrv?authuser=0&hl=fr&entry=ttu",Association caritative,Communaute Emmaus Trappes Association caritative Association caritative,Aide sociale,48.7699761,2.0097312
ChIJnXQOjVaB5kcRyXq8Va7CVQA,Dr Israel Benjamin - Cabinet dentaire et d'Orthodontie Trappes Saint Quentin en Yvelines,Dentiste,4.7,239.0,"Dr Israel Benjamin - Cabinet dentaire et d'Orthodontie Trappes Saint Quentin en Yvelines, 25 bis Av. Gabriel Peri, 78190 Trappes",https://www.google.com/maps/place/Dr+Israel+Benjamin+-+Cabinet+dentaire+et+d%27Orthodontie+Trappes+Saint+Quentin+en+Yvelines/data=!4m7!3m6!1s0x47e681568d0e749d:0x55c2ae55bc7ac9!8m2!3d48.7759002!4d2.0063343!16s%2Fg%2F1thd5_fj!19sChIJnXQOjVaB5kcRyXq8Va7CVQA?authuser=0&hl=fr&rclk=1,"Dentiste, Orthodontiste","Dr Israel Benjamin - Cabinet dentaire et d'Orthodontie Trappes Saint Quentin en Yvelines Dentiste Dentiste, Orthodontiste",Sante,48.7759002,2.0063343
ChIJ435JAVaB5kcRFhUyZXiIV1Q,Cinema le Grenier a Sel,Cinema,4.5,206.0,"Cinema le Grenier a Sel, 1 Rue de l'Abreuvoir, 78190 Trappes","https://www.google.com/maps/place/Cin%C3%A9ma+le+Grenier+%C3%A0+Sel/@48.7770153,2.003019,17z/data=!3m1!4b1!4m6!3m5!1s0x47e6815601497ee3:0x5457887865321516!8m2!3d48.7770153!4d2.003019!16s%2Fg%2F11b5pkm74d?authuser=0&hl=fr&entry=ttu",Cinema,Cinema le Grenier a Sel Cinema Cinema,Sport et loisir,48.7770153,2.003019
ChIJH005N_SD5kcRkfBqbKDJ6Fk,Mairie de Trappes,Administration locale,3.8,202.0,"Mairie de Trappes, 1 Rue de la Republique, 78190 Trappes","https://www.google.com/maps/place/Mairie+de+Trappes/@48.7758279,1.9993893,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f437394d1f:0x59e8c9a06c6af091!8m2!3d48.7758279!4d1.9993893!16s%2Fg%2F1tp26lpt?authuser=0&hl=fr&entry=ttu",Hotel de ville,Mairie de Trappes Administration locale Hotel de ville,"Services Publics, Administration",48.7758279,1.9993893
